Self-generated Income Type,INSTITUTION,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014
Fundraising,British Museum,8000000,15200000,16600000,16500000,39500000,54200000
Fundraising,Geffrye Museum,52953,38719,26872,103993,65700,22010
Fundraising,Horniman Museum,398321,377637,499097,1076064,338172,478239
Fundraising,Imperial War Museums,3496000,6701000,5897000,2478000,3436968,20102000
Fundraising,Museum of Science and Industry in Manchester,147000,2470231,3696775,0,0,0
Fundraising,National Gallery,38879000,9040000,7405000,99070000,26778000,21100000
Fundraising,National Museums Liverpool,1726998,3003000,1675000,1069000,885206,1000480
Fundraising,National Portrait Gallery,5195000,4014000,2148000,2631000,2813000,4264000
Fundraising,Natural History Museum,2379000,6870000,3420000,2260000,2150000,3520000
Fundraising,Royal Armouries,744000,574000,1967000,1026000,126000,267000
Fundraising,Royal Museums Greenwich,333108,3420157,18766000,8794000,2874000,6137637
Fundraising,Science Museum Group,3128000,8720000,6160000,5628000,9824000,14045000
Fundraising,Sir John Soane's Museum,497021,1061397,2568795,1976881,934905,1317044
Fundraising,Tate Gallery Group,27037000,17643000,20050000,20540000,53887000,106903000
Fundraising,Tyne and Wear Museums,139064,200121,112441,109995,115406,82650
Fundraising,Victoria and Albert Museum,20127000,17175000,12980000,12611000,11929000,15476000
Fundraising,Wallace Collection,1173000,2132000,911000,2023000,2052000,3485000
Trading Income,British Museum,3600000,5400000,11200000,12300000,11900000,18500000
Trading Income,Geffrye Museum,-1190,-13686,30977,32043,19026,10178
Trading Income,Horniman Museum,65600,68185,97437,48574,89417,149804
Trading Income,Imperial War Museums,4129000,4217000,4997000,3278891,3074545,2824328
Trading Income,Museum of Science and Industry in Manchester,332532,111310,30619,0,0,0
Trading Income,National Gallery ,278000,273000,3600000,4100000,3293000,3800000
Trading Income,National Museums Liverpool,221000,-66112,624621,615924,909517,1291636
Trading Income,National Portrait Gallery,450000,444000,406000,765000,686000,715000
Trading Income,Natural History Museum,2821600,6870000,7490000,9370000,8420000,9610000
Trading Income,Royal Armouries,313000,405000,315000,337000,395256,385732
Trading Income,Royal Museums Greenwich,1252590,1363811,1640000,990000,352000,781906
Trading Income,Science Museum Group,2285000,3323000,2865000,3822000,2956000,3109000
Trading Income,Sir John Soane's Museum,242425,272202,307310,277974,98137,175847
Trading Income,Tate Gallery Group,29386000,26705000,26963000,26663000,28353000,25886000
Trading Income,Tyne and Wear Museums,1295383,1289498,1136068,1203087,1035984,1147281
Trading Income,Victoria and Albert Museum,8894000,10359000,12301000,12427000,1869000,2602000
Trading Income,Wallace Collection,594000,390000,490000,564000,485491,621001
Admissions,British Museum,3100000,2200000,2400000,2200000,1200000,5700000
Admissions,Geffrye Museum,0,0,0,0,0,0
Admissions,Horniman Museum,5809,236505,185696,222318,345057,464681
Admissions,Imperial War Museums,4752000,5552000,6083000,6147000,6438923,8011000
Admissions,Museum of Science and Industry in Manchester,1541874,113553,88928,0,0,0
Admissions,National Gallery,1459000,1570000,1127000,3533000,858000,1400000
Admissions,National Museums Liverpool,0,0,0,289000,52213,0
Admissions,National Portrait Gallery,2063000,1716000,990000,1712000,2256000,1806000
Admissions,Natural History Museum,1942000,1360000,1590000,2390000,2060000,2460000
Admissions,Royal Armouries,75000,117000,156000,71000,111000,98000
Admissions,Royal Museums Greenwich,337827,527751,684000,2239000,2602000,3371618
Admissions,Science Museum Group,253000,802000,0,38000,0,466000
Admissions,Sir John Soane's Museum,11634,23281,27102,31240,41933,53037
Admissions,Tate Gallery Group,7194000,5625000,6940000,6379000,10826000,6850000
Admissions,Tyne and Wear Museums,43862,89328,83645,54380,51965,117413
Admissions,Victoria and Albert Museum,2737000,3118000,3511000,4004000,4361400,5941000
Admissions,Wallace Collection,0,0,0,0,0,0
